DateTime_UTC,DP,NO2,O3,PM25,RH,Temp
2019-08-01,,,,,,
2019-08-02,22.974,-11.064,40.296,6.049,83.182,26.666
2019-08-03,23.918,-8.258,31.267,5.46,87.393,26.581
2019-08-04,24.081,-2.703,22.023,5.163,89.143,26.4
2019-08-05,24.605,-3.811,23.703,6.874,95.856,25.438
2019-08-06,23.605,1.71,22.377,6.472,85.803,26.642
2019-08-07,25.746,-4.305,34.707,7.857,86.951,28.493
2019-08-08,23.988,-4.784,37.555,5.793,81.21,28.335
2019-08-09,23.515,0.428,31.737,7.018,76.675,29.006
2019-08-10,23.098,-0.215,33.665,6.368,74.231,29.115
