Parameter Name,SDFS Label,Units,Parameter Classification,Notes
:math:`PM_{1}` |br| (particulate matter < 1 |br| micrometer in aerosol diameter),``PM1``,:math:`\mu g/m^3`,PM,
:math:`PM_{2.5}` |br| (particulate matter < 2.5 |br| micrometers in aerosol diameter),``PM25``,:math:`\mu g/m^3`,PM,Criteria Pollutant
:math:`PM_{10}` |br| (particulate matter < 10 |br| micrometers in aerosol diameter),``PM10``,:math:`\mu g/m^3`,PM,Criteria Pollutant
:math:`O_{3}`  (Ozone),``O3``,Parts per billion by volume,PM,Criteria Pollutant
:math:`NO` (Nitric Oxide),``NO``,Parts per billion by volume,Gases,
:math:`NO_{2}` (Nitrogen Dioxide),``NO2``,Parts per billion by volume,Gases,Criteria Pollutant
:math:`NO_{x}` (Nitrogen Oxides),``NOx``,Parts per billion by volume,Gases,
:math:`SO_{2}` (Sulfur Dioxide),``SO2``,Parts per billion by volume,Gases,Criteria Pollutant
:math:`SO_{x}` (Sulfur Dioxides),``SOx``,Parts per billion by volume,Gases,
:math:`CO` (Carbon Monoxide),``CO``,Parts per billion by volume,Gases,Criteria Pollutant
Relative Humidity,``RH``,Percent,Met ,
Temperature,``Temp``,Degrees Celsius,Met ,
Dew point,``DP`` ,Degrees Celsius,Met ,"If internal Temp and RH measured, but not DP, |br| DP is calculated via the Dewpoint() module and is labeled 'DP_calculated'"
Wind Speed,``WS``,Meters/second,Met ,
Wind Direction,``WD``,Radians,Met ,
Pressure,``Press``,,Met ,
Parameter Units,``[param name]_Unit``,,Ancillary,Parameter Metadata
Parameter QC Code,``[param name]_QC``,N/a,Ancillary,Parameter Metadata
Latitude of sensor,``Sensor_Lat``,Decimal degrees  ,Ancillary,Siting Metadata
Longitude of sensor,``Sensor_Lon``,Decimal degrees  ,Ancillary,Siting Metadata
Parameter data normalized |br| by corresponding reference ,``[param name]_Normalized``,N/a,Eval,Calculated during sensor evaluation analysis
